,loss,val_loss,epoch,batch,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,rightmouth_x,rightmouth_y,average,scaled_lefteye_x,scaled_lefteye_y,scaled_righteye_x,scaled_righteye_y,scaled_nose_x,scaled_nose_y,scaled_leftmouth_x,scaled_leftmouth_y,scaled_rightmouth_x,scaled_rightmouth_y,scaled_avg
Custom,"[488.2683410644531, 178.78807067871094, 128.86370849609375, 108.85399627685547, 95.95481872558594, 88.3529052734375, 81.5787353515625, 74.56400299072266, 71.59581756591797, 67.89716339111328, 65.68327331542969, 63.808162689208984, 62.13880157470703, 59.876556396484375, 59.199073791503906, 57.51531219482422, 56.054168701171875, 53.50237274169922, 53.59793472290039, 52.72136306762695, 50.93488311767578, 51.30173110961914, 48.40753173828125, 48.93571853637695, 47.791690826416016, 47.779300689697266, 46.30617904663086, 45.561309814453125, 45.43033218383789, 44.717891693115234, 43.96059036254883, 43.59243392944336, 43.301815032958984, 42.62696838378906, 42.89389419555664, 41.79512405395508, 42.36689376831055, 41.69987869262695, 41.0390625, 39.96389389038086, 40.20595932006836, 39.59793472290039, 39.931400299072266, 38.981163024902344, 38.57802200317383, 38.09274673461914, 37.7861328125, 37.55448532104492, 36.88710021972656, 36.874881744384766, 35.8661994934082, 35.70191192626953, 35.574424743652344, 35.76499938964844, 34.725154876708984, 34.53507995605469, 34.37422561645508, 34.406253814697266, 33.838279724121094, 33.866050720214844, 32.64108657836914, 33.69991683959961, 32.498958587646484, 31.78580665588379, 31.792932510375977, 31.20073127746582, 30.768217086791992, 30.809040069580078, 30.17360496520996, 30.60291862487793, 30.7177791595459, 30.18056297302246, 29.60960578918457, 29.79378318786621, 28.830585479736328, 28.68023681640625, 28.526691436767578, 28.08018684387207, 27.64411735534668, 28.113601684570312, 27.636165618896484, 27.886123657226562, 27.38302993774414, 27.443532943725586, 26.744163513183594, 26.748214721679688, 27.150165557861328, 26.182781219482422, 26.41122817993164, 26.355390548706055, 26.09203338623047, 25.53851890563965, 26.40517807006836, 25.7789306640625, 25.14125633239746, 25.064258575439453, 25.185136795043945, 25.013641357421875, 25.136524200439453, 25.073017120361328, 24.522003173828125, 24.546875, 24.54637336730957, 22.822933197021484, 21.23211097717285, 19.42415428161621, 19.37065887451172, 19.302783966064453, 19.03556251525879, 18.84389877319336, 19.035924911499023, 19.01712417602539, 18.855798721313477, 18.627506256103516, 18.53514862060547, 18.57982063293457, 18.205883026123047, 18.223064422607422, 18.4444580078125, 18.14105987548828, 17.66786003112793, 17.77128028869629, 17.867319107055664, 17.773330688476562, 17.74545669555664, 17.567718505859375, 17.496826171875, 17.26264762878418, 17.200519561767578, 17.111602783203125, 17.203750610351562, 16.663681030273438, 17.038314819335938, 16.72939682006836, 16.361154556274414, 16.62616539001465, 16.38707733154297, 16.41986656188965, 16.042072296142578, 16.11932373046875, 16.348360061645508, 15.885658264160156, 15.914876937866211, 15.585736274719238, 15.860926628112793, 15.708209037780762, 15.54621410369873, 15.469982147216797, 15.46087646484375, 15.270281791687012, 15.349874496459961, 14.968762397766113, 15.004387855529785, 14.93952751159668, 14.682052612304688, 14.7611722946167, 14.394594192504883, 14.425691604614258, 14.332809448242188, 14.296865463256836, 14.218060493469238, 14.252099990844727, 14.210386276245117, 14.137993812561035, 13.912884712219238, 14.041169166564941, 13.555211067199707, 13.734260559082031, 13.484758377075195, 13.818567276000977, 13.396389961242676, 13.487361907958984, 13.22674560546875, 13.121739387512207, 13.172930717468262, 13.269509315490723, 12.841053009033203, 12.836103439331055, 12.543551445007324, 12.596733093261719, 12.732542991638184, 12.488887786865234, 12.265912055969238, 12.464570045471191, 12.346158027648926, 12.247404098510742, 12.175397872924805, 12.154763221740723, 11.908781051635742, 11.954514503479004, 11.935606956481934, 11.682910919189453, 11.51514720916748, 11.422689437866211, 11.417939186096191, 11.536768913269043, 11.437397003173828, 11.152181625366211, 11.064836502075195, 11.243003845214844, 11.019124984741211, 10.78277587890625, 10.892854690551758, 10.623429298400879, 10.714712142944336, 10.6891450881958, 10.603229522705078, 10.535100936889648, 10.405516624450684, 10.39117431640625, 10.261804580688477, 10.170040130615234, 10.130729675292969, 10.078015327453613, 9.980907440185547, 10.081801414489746, 9.841470718383789, 9.787432670593262, 9.765188217163086, 9.698338508605957, 9.666281700134277, 9.471498489379883, 9.425163269042969, 9.426972389221191, 9.292098999023438, 9.22007942199707, 9.187854766845703, 9.199382781982422, 8.973599433898926, 8.966179847717285, 8.756426811218262, 8.881292343139648, 8.732864379882812, 8.678133964538574, 8.673089981079102, 8.625632286071777, 8.568547248840332, 8.46225643157959, 8.493308067321777, 8.428109169006348, 8.357503890991211, 8.325695037841797, 8.30598258972168, 8.074191093444824, 8.000237464904785, 7.949097156524658, 7.97945499420166, 7.84232759475708, 7.827797889709473, 7.734091281890869, 7.675574779510498, 7.6467509269714355, 7.543374538421631, 7.576323986053467, 7.404857158660889, 7.518627166748047, 7.2132463455200195, 7.335768222808838, 7.316367149353027, 7.113698959350586, 7.162116527557373, 7.109352111816406, 6.925202369689941, 6.98031759262085, 6.916632175445557, 6.693145275115967, 6.689088821411133, 6.687751293182373, 6.712686061859131, 6.670170307159424, 6.498315334320068, 6.554660797119141, 6.539693832397461, 6.395660400390625, 6.3776960372924805, 6.319431304931641, 6.203394889831543, 6.059439182281494, 6.071570873260498, 6.085662841796875, 6.0049567222595215, 6.001189231872559, 5.984843730926514, 5.897500038146973, 5.747687816619873, 5.848643779754639, 5.751527786254883, 5.7198662757873535, 5.63911247253418, 5.537222862243652, 5.619285583496094, 5.570254325866699, 5.410180568695068, 5.430344581604004, 5.335517406463623, 5.260603904724121, 5.296527862548828, 5.222061634063721, 5.190638542175293, 5.10249662399292]","[432.4057922363281, 359.76934814453125, 364.089599609375, 263.1790771484375, 214.94467163085938, 223.8086395263672, 159.27899169921875, 115.52496337890625, 108.32542419433594, 57.048301696777344, 60.831295013427734, 34.471073150634766, 30.361459732055664, 24.443517684936523, 23.036785125732422, 10.111806869506836, 9.883946418762207, 17.382976531982422, 9.465144157409668, 8.760071754455566, 4.383830547332764, 5.6969780921936035, 3.234433174133301, 5.066333293914795, 4.252999305725098, 5.090088367462158, 2.0871329307556152, 2.329026460647583, 2.874636173248291, 4.8433427810668945, 3.735452651977539, 3.734699010848999, 3.447618246078491, 3.3447256088256836, 3.6742465496063232, 3.2661209106445312, 2.433405637741089, 2.6915526390075684, 2.887089967727661, 2.4144318103790283, 2.417621612548828, 2.925039529800415, 2.6984198093414307, 2.9248714447021484, 2.2337422370910645, 2.3417491912841797, 2.2942569255828857, 3.4994454383850098, 2.968750238418579, 2.4621376991271973, 2.9319331645965576, 2.2998225688934326, 3.09572434425354, 2.6271796226501465, 2.765171527862549, 2.6641221046447754, 3.0089774131774902, 2.346904754638672, 2.7185428142547607, 2.390831708908081, 3.0111002922058105, 2.3651652336120605, 2.467186689376831, 3.559757947921753, 1.946347951889038, 2.778290033340454, 1.9649133682250977, 2.0214145183563232, 1.9466888904571533, 2.3129587173461914, 2.314588785171509, 2.188648223876953, 1.9621450901031494, 2.146512985229492, 2.522097110748291, 2.18511962890625, 2.473855495452881, 2.1863040924072266, 2.411687135696411, 2.2430357933044434, 2.367560386657715, 2.2990682125091553, 2.160511016845703, 2.1438162326812744, 1.9109317064285278, 1.8765344619750977, 1.956617832183838, 2.310713529586792, 2.5297837257385254, 2.9341979026794434, 2.456242084503174, 2.0708305835723877, 2.045778751373291, 2.151390790939331, 2.1480815410614014, 2.247952461242676, 1.9629777669906616, 2.251415967941284, 2.1876003742218018, 1.9750844240188599, 1.987778663635254, 2.270409345626831, 1.6502127647399902, 1.8040704727172852, 1.7067022323608398, 1.9283182621002197, 1.63661789894104, 1.833070993423462, 1.9732203483581543, 1.72176194190979, 1.978540062904358, 1.740268349647522, 2.02812123298645, 1.6958091259002686, 1.801092505455017, 1.7230491638183594, 1.9413174390792847, 1.837770938873291, 1.5472540855407715, 1.7191179990768433, 1.7342735528945923, 2.0712194442749023, 1.5257062911987305, 1.7176998853683472, 1.77339768409729, 1.560188889503479, 1.7613087892532349, 1.7028239965438843, 1.977373719215393, 1.8488050699234009, 1.7062976360321045, 1.6343605518341064, 1.846437692642212, 1.546067714691162, 1.7251040935516357, 1.723026156425476, 1.477100133895874, 1.5593234300613403, 1.5778703689575195, 1.5711439847946167, 1.4290058612823486, 1.4291422367095947, 1.6823498010635376, 1.7469429969787598, 1.426520586013794, 1.6634299755096436, 1.6693586111068726, 1.7375341653823853, 1.4832619428634644, 1.809643030166626, 1.45793879032135, 1.5074213743209839, 1.4838414192199707, 1.4721641540527344, 1.4609718322753906, 1.354552149772644, 1.5006117820739746, 1.2855334281921387, 1.3669406175613403, 1.366165280342102, 1.4061427116394043, 1.7939608097076416, 1.2990790605545044, 1.629117727279663, 1.4265756607055664, 1.3788204193115234, 1.5109505653381348, 1.4190047979354858, 1.3839690685272217, 1.3765159845352173, 1.3107291460037231, 1.30815589427948, 1.2862179279327393, 1.397615671157837, 1.4081289768218994, 1.3013625144958496, 1.5178260803222656, 1.4095360040664673, 1.4743112325668335, 1.6219562292099, 1.3928982019424438, 1.3861262798309326, 1.2926793098449707, 1.365319848060608, 1.3477940559387207, 1.389173150062561, 1.446232557296753, 1.3365954160690308, 1.3000563383102417, 1.353653073310852, 1.2615447044372559, 1.4107375144958496, 1.3303520679473877, 1.3142296075820923, 1.259971022605896, 1.3209768533706665, 1.345431923866272, 1.1690611839294434, 1.294470191001892, 1.159853219985962, 1.2863396406173706, 1.223927617073059, 1.22418212890625, 1.239915370941162, 1.2041805982589722, 1.2213714122772217, 1.2754254341125488, 1.2083356380462646, 1.1498703956604004, 1.2936222553253174, 1.192924976348877, 1.3014277219772339, 1.2195014953613281, 1.3621455430984497, 1.1375499963760376, 1.246232271194458, 1.2996244430541992, 1.2250653505325317, 1.2151784896850586, 1.2149282693862915, 1.2955918312072754, 1.199459433555603, 1.29801344871521, 1.32958984375, 1.4647153615951538, 1.1868407726287842, 1.2136878967285156, 1.1833783388137817, 1.111255168914795, 1.2548235654830933, 1.2035186290740967, 1.2836954593658447, 1.1551964282989502, 1.2117754220962524, 1.1110069751739502, 1.1147983074188232, 1.2408981323242188, 1.1675934791564941, 1.2701551914215088, 1.1700003147125244, 1.1507349014282227, 1.1626708507537842, 1.1094379425048828, 1.1024606227874756, 1.092061996459961, 1.2635045051574707, 1.0932189226150513, 1.0670980215072632, 1.2325105667114258, 1.1272295713424683, 1.1123818159103394, 1.1241893768310547, 1.0608738660812378, 1.0915104150772095, 1.1394110918045044, 1.0661343336105347, 1.1074984073638916, 1.088672399520874, 1.0907373428344727, 1.040193796157837, 1.1201732158660889, 1.049065113067627, 1.066972017288208, 1.0173656940460205, 1.114561676979065, 1.061952829360962, 1.0539803504943848, 1.1038298606872559, 1.0934326648712158, 1.1093435287475586, 1.0660797357559204, 1.084649920463562, 1.0735054016113281, 1.1334425210952759, 1.0293275117874146, 1.0825797319412231, 1.0461666584014893, 1.052756905555725, 1.0627715587615967, 1.0299830436706543, 1.0962259769439697, 1.043157696723938, 0.9644491076469421, 1.0474956035614014, 1.0381416082382202, 1.0731157064437866, 1.00570809841156, 1.0290172100067139, 1.0719636678695679, 0.9613975882530212, 0.9392140507698059, 0.9987604022026062, 1.031288504600525, 0.9389482736587524, 0.9483243227005005, 0.9522150754928589, 1.032148003578186, 0.928291916847229, 0.9532450437545776, 0.9698716402053833]",300.0,200.0,0.5506274395092922,0.1296475938852258,0.659737327271703,0.1217351934721446,2.054469292726814,1.6114728822983546,1.927429490085628,0.4895470199918588,1.9365345416580768,0.4623282143961152,0.9943528995295212,2.3800995171201054,1.08608292322083,1.6791846643466497,1.0527594058933365,3.622838711602519,3.1519331476548333,4.33348849479133,1.5426105947731532,2.9333893229504127,1.498163642849088,
Benchmark,,,,,0.6074531409507989,0.1169873522232528,0.5963801326491002,0.120998418941062,9.215325407725356,1.5762897652904977,2.045889397029519,0.2954809112524715,2.094240218670769,0.2731330620630488,1.6942177806795875,2.4998996877462853,1.031692350532797,1.5965205555357458,1.0495687776694331,7.672811170079684,3.117335351465747,4.464671128654933,1.1984607602815702,3.050495093719057,1.151519220489823,2.683297409617508
DenseNet169,"[9773.1923828125, 7211.0439453125, 5543.32861328125, 3938.3203125, 3067.60791015625, 2483.581298828125, 2041.5482177734375, 1885.9390869140625, 1906.9976806640625, 1847.375244140625, 1592.6427001953125, 1515.5606689453125, 1495.9317626953125, 1399.511474609375, 1245.529296875, 1227.3155517578125, 1170.1544189453125, 1142.5592041015625, 1044.8602294921875, 1069.1126708984375, 1017.1475830078125, 981.3038940429688, 1015.4852294921875, 955.7111206054688, 962.3396606445312, 895.4635009765625, 934.2619018554688, 906.6221923828125, 873.5245361328125, 872.1560668945312, 840.0987548828125, 811.2374267578125, 879.6455078125, 923.8766479492188, 833.7362060546875, 780.0614013671875, 796.6627807617188, 751.790771484375, 727.2628173828125, 763.1910400390625, 775.5572509765625, 789.5413818359375, 742.6286010742188, 753.7501220703125, 707.8828125, 774.5438842773438, 694.892822265625, 701.2291259765625, 643.0641479492188, 744.1646728515625, 679.8556518554688, 697.3275146484375, 617.7550048828125, 679.0665893554688, 690.2095947265625, 670.37060546875, 662.8192138671875, 685.8834228515625, 673.8779296875, 679.8125, 641.2879028320312, 633.038330078125, 634.96435546875, 622.690673828125, 632.0040893554688, 622.3968505859375, 691.3800048828125, 656.787109375, 584.4698486328125, 575.4344482421875, 637.5349731445312, 608.6114501953125, 591.1156005859375, 554.1559448242188, 608.3146362304688, 594.4884033203125, 588.1409912109375, 570.4859619140625, 560.13916015625, 580.3897705078125, 538.3795776367188, 534.4710083007812, 585.2704467773438, 553.5277099609375, 569.7257080078125, 529.6981811523438, 553.9918212890625, 502.60009765625, 532.4240112304688, 524.0098876953125, 512.186279296875, 538.3883056640625, 495.9107971191406, 520.2381591796875, 487.53533935546875, 497.37548828125, 575.0292358398438, 514.5330810546875, 498.9051208496094, 482.69384765625, 554.4275512695312, 552.7994384765625, 523.0298461914062, 488.57861328125, 533.3462524414062, 491.748291015625, 556.0302124023438, 514.3428955078125, 485.21258544921875, 471.9012145996094, 509.0326232910156, 522.683837890625, 522.9268798828125, 488.9210510253906, 552.3211669921875, 577.4405517578125, 444.0234375, 494.401123046875, 474.05108642578125, 508.088623046875, 534.5692749023438, 541.2403564453125, 480.1949157714844, 496.54071044921875, 475.34881591796875, 490.27996826171875, 454.4684143066406, 466.04730224609375, 470.73870849609375, 493.07781982421875, 536.9099731445312, 473.84600830078125, 481.0841369628906, 457.9444274902344, 490.8365783691406, 500.4784240722656, 485.84393310546875, 492.06805419921875, 460.6471252441406, 487.07330322265625, 471.1700744628906, 496.41558837890625, 516.8931884765625, 441.551513671875, 491.8837890625, 536.5421142578125, 467.3185119628906, 492.4063415527344, 443.5845642089844, 482.86065673828125, 478.07781982421875, 463.8690490722656, 470.1587829589844, 479.68035888671875, 471.4185485839844, 467.97015380859375, 426.3058166503906, 435.95404052734375, 470.26324462890625, 472.5576171875, 453.87939453125, 507.020263671875, 445.0101623535156, 462.8763732910156, 506.5868225097656, 472.9649353027344, 459.40447998046875, 486.703369140625, 422.287353515625, 455.8046875, 447.8550720214844, 450.09771728515625, 467.2799377441406, 435.46319580078125, 459.0284118652344, 424.5596618652344, 467.8168029785156, 435.3017578125, 438.9033203125, 433.26214599609375, 460.36676025390625, 483.53997802734375, 432.6231384277344, 455.4854431152344, 457.51104736328125, 467.73681640625, 474.46173095703125, 478.440185546875, 485.3623962402344, 475.8741149902344, 435.388427734375, 400.9576110839844, 442.02777099609375, 440.0835876464844, 423.30218505859375, 453.31915283203125, 425.4983825683594, 443.84185791015625, 456.6353454589844, 444.80059814453125, 417.93646240234375, 445.391357421875, 416.21051025390625, 439.87725830078125, 467.01580810546875, 430.7640075683594, 411.39410400390625, 427.8484802246094, 440.4951171875, 423.9171447753906, 449.46771240234375, 424.5274963378906, 432.62078857421875, 430.62255859375, 429.7953186035156, 401.36956787109375, 447.123046875, 417.02764892578125, 477.36456298828125, 408.70892333984375, 433.2738342285156, 465.380126953125, 453.5672302246094, 393.96942138671875, 412.5445861816406, 428.74969482421875, 456.91644287109375, 437.3817443847656, 413.7760314941406, 434.288818359375, 416.2814025878906, 423.35357666015625, 460.2791442871094, 417.69720458984375, 434.78851318359375, 427.15576171875, 449.6795349121094, 432.62939453125, 409.88958740234375, 428.53717041015625, 454.97137451171875, 425.65997314453125, 442.3501892089844, 445.94012451171875, 431.4217224121094, 405.53973388671875, 415.876708984375, 418.62255859375, 426.781494140625, 403.8286437988281, 382.7292175292969, 406.05169677734375, 407.79840087890625, 419.9071350097656, 414.9800720214844, 423.74444580078125, 397.0648193359375, 405.45562744140625, 425.27984619140625, 397.968505859375, 410.46173095703125, 433.17596435546875, 391.92608642578125, 396.423095703125, 425.71551513671875, 398.3478088378906, 408.39910888671875, 433.7808532714844, 400.0081787109375, 402.22930908203125, 413.2353515625, 411.6529846191406, 411.50128173828125, 394.24609375, 414.880615234375, 413.9140625, 425.0414123535156, 415.6177673339844, 404.60723876953125, 400.71258544921875, 407.28936767578125, 421.52825927734375, 428.58380126953125, 378.44854736328125, 378.9146423339844, 395.8567810058594, 439.89813232421875, 394.3616638183594, 354.6679992675781, 421.43255615234375, 377.8601379394531, 405.64385986328125, 410.04815673828125, 398.8486328125, 385.9021301269531, 416.8077697753906, 416.2914123535156, 428.40087890625, 382.7698974609375, 405.353759765625, 391.9513244628906, 420.35601806640625, 390.306640625, 385.02593994140625, 371.2834167480469, 409.703369140625, 404.8534240722656, 401.61627197265625, 394.9627990722656, 377.4190979003906, 408.74267578125, 385.9453430175781, 406.9088134765625, 373.83782958984375, 379.2254638671875, 389.2205505371094, 376.77069091796875, 389.44451904296875, 410.299072265625, 381.54962158203125, 392.45562744140625, 379.93707275390625, 378.8222351074219, 386.78631591796875, 365.0322265625, 387.25958251953125, 399.377685546875, 396.6798400878906, 387.67584228515625, 374.80059814453125, 393.8092346191406, 394.8811950683594, 390.28253173828125, 355.3731994628906, 423.6226501464844, 362.6132507324219, 393.6850280761719, 353.84674072265625, 375.06756591796875, 400.11859130859375, 430.5098571777344, 410.69268798828125, 397.0262451171875, 382.530029296875, 385.95721435546875, 370.943359375, 373.0873107910156, 351.9127502441406, 397.6479187011719, 408.5245056152344, 422.2362365722656, 411.38214111328125, 364.5674743652344, 364.4870300292969, 415.5650329589844, 421.54351806640625, 456.9012756347656, 393.57525634765625, 395.0886535644531, 364.2842102050781, 394.9451599121094, 381.25665283203125, 353.27874755859375, 371.22021484375, 351.7041015625, 387.3669128417969, 379.47003173828125, 378.0284729003906, 399.06011962890625, 366.9773254394531, 369.4193420410156, 361.7410583496094, 406.375732421875, 352.772216796875, 370.2505798339844, 366.4797058105469, 378.6834716796875, 341.7887878417969, 400.4233093261719, 365.9981384277344, 373.5928039550781, 357.48126220703125, 360.5946960449219, 403.98358154296875, 392.4266662597656, 378.53106689453125, 395.5111083984375, 359.66961669921875, 374.59063720703125, 359.5993347167969, 351.30804443359375, 385.71429443359375, 373.83612060546875, 338.91998291015625, 399.44500732421875, 383.8885498046875, 382.726806640625, 343.10845947265625, 371.35626220703125, 356.90557861328125]","[7987.02734375, 5139.2412109375, 2747.114990234375, 4714.3955078125, 3327.074951171875, 2430.659423828125, 797.9295654296875, 2096.115234375, 296.17681884765625, 1186.3277587890625, 233.71533203125, 599.3151245117188, 927.1973876953125, 815.579833984375, 1530.4775390625, 989.2756958007812, 773.4852294921875, 475.7901306152344, 899.8338012695312, 459.36083984375, 917.0404052734375, 842.8095703125, 1407.346435546875, 426.59564208984375, 1058.888427734375, 908.5719604492188, 1461.484130859375, 800.63671875, 1501.8931884765625, 743.8247680664062, 1221.252685546875, 1745.0670166015625, 1726.569580078125, 697.2464599609375, 960.4234619140625, 1179.1849365234375, 1156.862548828125, 1037.3360595703125, 1036.390380859375, 1123.010498046875, 553.9434204101562, 829.2490234375, 1041.1661376953125, 918.2283935546875, 1627.4818115234375, 1270.4017333984375, 970.2164916992188, 1168.023681640625, 1496.73291015625, 1101.0318603515625, 1309.3043212890625, 1280.899169921875, 1409.442138671875, 1462.13525390625, 1133.359619140625, 725.3533935546875, 1207.37158203125, 1088.723876953125, 1167.66259765625, 1155.7955322265625, 1460.79345703125, 1444.5867919921875, 1177.6348876953125, 1209.886474609375, 650.61767578125, 1216.2447509765625, 1402.454833984375, 1125.6995849609375, 1156.1724853515625, 1277.783447265625, 1083.685791015625, 1553.909423828125, 1503.944580078125, 1496.5509033203125, 1499.16064453125, 1192.278076171875, 1102.94140625, 1136.380615234375, 1409.46826171875, 1155.4091796875, 1309.7196044921875, 1062.7567138671875, 1153.9127197265625, 1284.175537109375, 1049.3145751953125, 1318.855224609375, 1516.9368896484375, 1418.4910888671875, 1899.113037109375, 1717.6455078125, 1965.935791015625, 1343.2391357421875, 1351.195556640625, 1565.984130859375, 1636.0693359375, 2246.719970703125, 1686.9830322265625, 1070.0487060546875, 1508.5255126953125, 1059.3223876953125, 1271.6005859375, 1618.3399658203125, 1592.958740234375, 1557.811279296875, 1662.1126708984375, 1418.4578857421875, 1587.263427734375, 1245.4630126953125, 1385.84912109375, 1555.02490234375, 1316.135986328125, 1185.088623046875, 1568.8768310546875, 1581.294921875, 1992.799072265625, 1323.26806640625, 1415.4896240234375, 1591.335693359375, 1508.6082763671875, 1178.4344482421875, 1809.5706787109375, 1716.593505859375, 1447.038818359375, 1893.887939453125, 1788.64453125, 1649.850830078125, 1479.226318359375, 1938.105712890625, 1262.787841796875, 1862.53125, 1768.4622802734375, 1149.998291015625, 1809.322021484375, 1310.28759765625, 1203.1793212890625, 1332.376220703125, 1578.635498046875, 956.7937622070312, 1748.800048828125, 1432.050048828125, 1375.6170654296875, 1132.1298828125, 1517.641845703125, 2063.14892578125, 1560.752197265625, 1573.793701171875, 1370.360595703125, 1381.370849609375, 1850.927490234375, 1295.9703369140625, 1165.470947265625, 1969.3638916015625, 1448.55859375, 1547.5426025390625, 2037.474365234375, 1194.927001953125, 1948.6279296875, 1505.3658447265625, 1347.27783203125, 1768.811279296875, 1916.338623046875, 1535.127197265625, 1197.53955078125, 1640.9271240234375, 1762.246337890625, 1726.648681640625, 1476.15478515625, 1403.824462890625, 1821.776611328125, 1202.090087890625, 1536.9610595703125, 1435.878173828125, 1137.860107421875, 1513.640380859375, 1472.7335205078125, 954.6337890625, 1275.6717529296875, 1591.2916259765625, 1685.114013671875, 1913.821533203125, 1741.220703125, 1459.8209228515625, 1452.8687744140625, 1286.1617431640625, 1403.15234375, 1592.9827880859375, 2462.735107421875, 1904.578125, 1327.0389404296875, 1193.83642578125, 1807.151611328125, 1640.489990234375, 1203.701171875, 1224.5819091796875, 1588.5946044921875, 2019.8551025390625, 1641.6224365234375, 1734.1455078125, 1228.920654296875, 1560.473876953125, 1425.803466796875, 1605.3001708984375, 1765.51953125, 1986.4759521484375, 1540.6522216796875, 1307.575439453125, 1298.5230712890625, 1830.762939453125, 1760.027099609375, 1623.2972412109375, 1893.8765869140625, 1677.948974609375, 1435.0574951171875, 1362.69580078125, 1837.91796875, 1421.797119140625, 1183.78515625, 1718.6396484375, 1338.133056640625, 1295.511962890625, 1533.154296875, 1681.0697021484375, 1138.2723388671875, 1468.861328125, 1586.86279296875, 1138.1695556640625, 1437.8785400390625, 1737.390869140625, 1142.8021240234375, 1411.6650390625, 1574.2598876953125, 1520.3746337890625, 1435.322998046875, 1448.96826171875, 1386.79296875, 1744.655517578125, 1717.6724853515625, 1285.3807373046875, 1561.7940673828125, 1412.119140625, 1104.4267578125, 1146.32275390625, 1733.6441650390625, 1354.40771484375, 1801.3763427734375, 1393.6898193359375, 1436.392822265625, 1309.0501708984375, 1513.3450927734375, 1153.559814453125, 1278.318603515625, 1539.4818115234375, 1525.822265625, 1392.6519775390625, 1369.5238037109375, 1329.009521484375, 1346.991455078125, 1400.311279296875, 1719.4615478515625, 1363.0279541015625, 1964.350830078125, 1441.64453125, 1895.572021484375, 1522.449462890625, 1527.07421875, 1837.1802978515625, 1577.92529296875, 1209.848876953125, 1511.5546875, 1113.002197265625, 1486.4493408203125, 1406.754150390625, 1184.01123046875, 1434.6387939453125, 1124.408935546875, 1349.6748046875, 1483.8636474609375, 1463.734130859375, 1442.79833984375, 1446.3792724609375, 1367.453857421875, 1380.469482421875, 1594.09033203125, 1149.6390380859375, 1406.767822265625, 1874.8463134765625, 1147.23876953125, 1381.0758056640625, 1575.8695068359375, 1513.7578125, 1679.484130859375, 1498.3359375, 1552.1795654296875, 1383.026123046875, 1437.5189208984375, 1528.93115234375, 1355.5426025390625, 1105.303466796875, 1384.1796875, 1601.50439453125, 841.9904174804688, 1964.452880859375, 1634.4364013671875, 1263.62646484375, 1396.14111328125, 1515.8905029296875, 1350.1337890625, 1233.4625244140625, 1510.461669921875, 1152.069091796875, 1708.200439453125, 1177.163818359375, 1299.182861328125, 1478.2034912109375, 1442.210693359375, 1332.148193359375, 1133.5799560546875, 1372.743896484375, 1876.6748046875, 1251.734619140625, 1486.797607421875, 1393.947509765625, 1392.8162841796875, 1596.47412109375, 1358.9176025390625, 1220.4466552734375, 1440.834716796875, 1683.440673828125, 1420.6129150390625, 1070.387451171875, 1136.8917236328125, 1639.7017822265625, 1418.5250244140625, 1433.287841796875, 1725.263427734375, 1375.124267578125, 1354.96484375, 1521.930419921875, 1770.736083984375, 1786.498779296875, 1246.740478515625, 1204.368896484375, 1306.0146484375, 1296.7991943359375, 1046.168212890625, 1513.724365234375, 1174.2921142578125, 1276.9051513671875, 1470.4835205078125, 965.1838989257812, 1269.3846435546875, 1725.894775390625, 1122.3817138671875, 1480.5181884765625, 1156.948974609375, 1439.6845703125, 1199.9010009765625, 1499.25439453125, 1290.5323486328125, 1452.2301025390625, 1686.733642578125, 1294.86083984375, 1448.6666259765625, 1558.086669921875, 1433.068115234375, 1257.5205078125, 1432.5262451171875, 1523.8765869140625, 1249.857421875, 1288.473876953125, 1392.677734375, 1329.1700439453125, 1411.620361328125, 1488.2275390625, 1498.1878662109375, 1182.899169921875, 943.5155029296875, 1342.3575439453125, 1501.136962890625, 1444.355224609375, 1086.2271728515625, 1364.61083984375, 1261.497314453125, 1520.5960693359375, 1042.259765625, 1341.454345703125, 1337.91796875, 1296.2354736328125, 1421.0576171875, 1362.0567626953125, 1135.0274658203125, 1197.1800537109375, 1562.2073974609375, 1359.41552734375, 1381.75048828125, 1044.0875244140625, 1212.48046875, 965.4007568359375, 1226.1802978515625, 1311.817138671875]",400.0,50.0,606.1021894169195,1074.1234763232405,1522.6369976677634,1075.3995718901904,1062.8298158844023,1589.2660405096947,663.2283342261638,2056.22251453229,1459.1346577888148,2054.620097911935,1316.3563696151414,28.381051061547485,28.699875681863972,28.91439014600929,28.72547145662052,29.66970402092071,28.879221771127185,28.872779322665597,29.0579997708793,28.862148910158485,29.024356109329513,28.908699825112205
